Category: All categories,,,,,
,,,,,
Week,bitcoin: (Worldwide),litecoin: (Worldwide),ethereum: (Worldwide),facebook libra: (Worldwide),cryptocurrency: (Worldwide)
1/4/2015,3,<1,<1,<1,<1
1/11/2015,3,<1,<1,<1,<1
1/18/2015,2,<1,<1,<1,<1
1/25/2015,2,<1,<1,<1,<1
2/1/2015,2,<1,<1,<1,<1
2/8/2015,2,<1,<1,<1,<1
2/15/2015,2,<1,<1,<1,<1
2/22/2015,2,<1,<1,<1,<1
3/1/2015,2,<1,<1,<1,<1
3/8/2015,2,<1,<1,<1,<1
3/15/2015,2,<1,<1,<1,<1
3/22/2015,2,<1,<1,<1,<1
3/29/2015,2,<1,<1,<1,<1
4/5/2015,2,<1,<1,<1,<1
4/12/2015,2,<1,<1,<1,<1
4/19/2015,2,<1,<1,<1,<1
4/26/2015,2,<1,<1,<1,<1
5/3/2015,2,<1,<1,<1,<1
5/10/2015,2,<1,<1,<1,<1
5/17/2015,2,<1,<1,<1,<1
5/24/2015,2,<1,<1,<1,<1
5/31/2015,2,<1,<1,<1,<1
6/7/2015,2,<1,<1,<1,<1
6/14/2015,2,<1,<1,<1,<1
6/21/2015,2,<1,<1,<1,<1
6/28/2015,2,<1,<1,<1,<1
7/5/2015,2,<1,<1,<1,<1
7/12/2015,2,<1,<1,<1,<1
7/19/2015,2,<1,<1,<1,<1
7/26/2015,2,<1,<1,<1,<1
8/2/2015,2,<1,<1,<1,<1
8/9/2015,2,<1,<1,<1,<1
8/16/2015,2,<1,<1,<1,<1
8/23/2015,2,<1,<1,<1,<1
8/30/2015,2,<1,<1,<1,<1
9/6/2015,2,<1,<1,<1,<1
9/13/2015,2,<1,<1,<1,<1
9/20/2015,2,<1,<1,<1,<1
9/27/2015,2,<1,<1,<1,<1
10/4/2015,2,<1,<1,<1,<1
10/11/2015,2,<1,<1,<1,<1
10/18/2015,2,<1,<1,<1,<1
10/25/2015,2,<1,<1,<1,<1
11/1/2015,4,<1,<1,<1,<1
11/8/2015,3,<1,<1,<1,<1
11/15/2015,2,<1,<1,<1,<1
11/22/2015,2,<1,<1,<1,<1
11/29/2015,2,<1,<1,<1,<1
12/6/2015,4,<1,<1,<1,<1
12/13/2015,3,<1,<1,<1,<1
12/20/2015,3,<1,<1,<1,<1
12/27/2015,2,<1,<1,<1,<1
1/3/2016,2,<1,<1,<1,<1
1/10/2016,3,<1,<1,<1,<1
1/17/2016,3,<1,<1,<1,<1
1/24/2016,2,<1,<1,<1,<1
1/31/2016,2,<1,<1,<1,<1
2/7/2016,2,<1,<1,<1,<1
2/14/2016,3,<1,<1,<1,<1
2/21/2016,2,<1,<1,<1,<1
2/28/2016,2,<1,<1,<1,<1
3/6/2016,2,<1,<1,<1,<1
3/13/2016,2,<1,<1,<1,<1
3/20/2016,2,<1,<1,<1,<1
3/27/2016,2,<1,<1,<1,<1
4/3/2016,2,<1,<1,<1,<1
4/10/2016,2,<1,<1,<1,<1
4/17/2016,2,<1,<1,<1,<1
4/24/2016,3,<1,<1,<1,<1
5/1/2016,4,<1,<1,<1,<1
5/8/2016,3,<1,<1,<1,<1
5/15/2016,2,<1,<1,<1,<1
5/22/2016,2,<1,<1,<1,<1
5/29/2016,3,<1,<1,<1,<1
6/5/2016,3,<1,<1,<1,<1
6/12/2016,4,<1,1,<1,<1
6/19/2016,4,<1,1,<1,<1
6/26/2016,3,<1,<1,<1,<1
7/3/2016,3,<1,<1,<1,<1
7/10/2016,3,<1,<1,<1,<1
7/17/2016,2,<1,<1,<1,<1
7/24/2016,2,<1,1,<1,<1
7/31/2016,3,<1,<1,<1,<1
8/7/2016,3,<1,<1,<1,<1
8/14/2016,2,<1,<1,<1,<1
8/21/2016,2,<1,<1,<1,<1
8/28/2016,2,<1,<1,<1,<1
9/4/2016,3,<1,<1,<1,<1
9/11/2016,2,<1,<1,<1,<1
9/18/2016,2,<1,<1,<1,<1
9/25/2016,2,<1,<1,<1,<1
10/2/2016,2,<1,<1,<1,<1
10/9/2016,3,<1,<1,<1,<1
10/16/2016,2,<1,<1,<1,<1
10/23/2016,3,<1,<1,<1,<1
10/30/2016,3,<1,<1,<1,<1
11/6/2016,3,<1,<1,<1,<1
11/13/2016,3,<1,<1,<1,<1
11/20/2016,3,<1,<1,<1,<1
11/27/2016,3,<1,<1,<1,<1
12/4/2016,3,<1,<1,<1,<1
12/11/2016,3,<1,<1,<1,<1
12/18/2016,4,<1,<1,<1,<1
12/25/2016,5,<1,<1,<1,<1
1/1/2017,7,<1,<1,<1,<1
1/8/2017,6,<1,<1,<1,<1
1/15/2017,4,<1,<1,<1,<1
1/22/2017,4,<1,<1,<1,<1
1/29/2017,4,<1,<1,<1,<1
2/5/2017,5,<1,<1,<1,<1
2/12/2017,4,<1,<1,<1,<1
2/19/2017,5,<1,<1,<1,<1
2/26/2017,6,<1,1,<1,<1
3/5/2017,7,<1,<1,<1,<1
3/12/2017,6,<1,1,<1,<1
3/19/2017,6,<1,1,<1,<1
3/26/2017,5,<1,1,<1,<1
4/2/2017,5,<1,1,<1,<1
4/9/2017,5,<1,1,<1,<1
4/16/2017,5,<1,1,<1,<1
4/23/2017,5,<1,1,<1,<1
4/30/2017,7,1,2,<1,<1
5/7/2017,9,1,1,<1,1
5/14/2017,11,<1,1,<1,1
5/21/2017,19,1,5,<1,1
5/28/2017,12,1,4,<1,1
6/4/2017,12,1,4,<1,1
6/11/2017,13,1,7,<1,2
6/18/2017,11,1,5,<1,1
6/25/2017,11,1,5,<1,1
7/2/2017,9,1,3,<1,1
7/9/2017,10,1,4,<1,1
7/16/2017,12,1,4,<1,1
7/23/2017,11,1,3,<1,1
7/30/2017,15,1,2,<1,1
8/6/2017,15,1,3,<1,1
8/13/2017,20,1,3,<1,2
8/20/2017,16,1,3,<1,2
8/27/2017,17,2,3,<1,2
9/3/2017,18,1,3,<1,2
9/10/2017,21,1,3,<1,2
9/17/2017,16,1,2,<1,1
9/24/2017,12,1,2,<1,1
10/1/2017,12,<1,2,<1,1
10/8/2017,19,1,2,<1,2
