date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
10/7/2011,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
10/8/2011,2,2,430,215,,,0,0.000244141,,,,,0,,100,36500,,100,,,,,,,,100,0,0,0,,,,,,,,,,
10/9/2011,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,100,0,0,0,,,,,,,,,,
10/10/2011,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,100,0,0,0,,,,,,,,,,
10/11/2011,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,100,0,0,0,,,,,,,,,,
10/12/2011,2,2,430,215,,,0,0.000244141,,,,,0,,100,18250,,100,,,,,,,,200,0,0,0,,,,,,,,,,
10/13/2011,9778,9685,2189503,226.0715539,,,0,0.003741159,1.08696E-05,,0,,0.001,,484250,36484.93137,,484250,,11.85982497,,,,,,484450,92,144,40847.989,,306.940816,,50,,44199.4775,,,,
10/14/2011,1531,1122,295956,263.7754011,,,0,0.046206551,3.22581E-05,,0,,0.002,,56100,3788.086208,,56100,,24.28128967,,,,,,540550,62,86,22261.99709,,261.8416335,,50,,22518.38048,,,,
10/15/2011,1514,762,313095,410.8858268,,,0,0.0625,0.000178571,,0,,0.08,,38100,2403.266223,,38100,,22.31618836,,,,,,578650,448,870,25929.60727,,35.45764366,,12.17944072,,30848.14999,,,,
10/16/2011,4843,915,925038,1010.970492,,,0,0.074459496,0.000640277,,0,,0.90407077,,45750,2674.367393,,45750,,3.53982218,,,,,,624400,1412,2756,176393.0414,,72.26618337,,9.802898595,,199165.6014,,,,
10/17/2011,3150,773,766661,991.7994825,,,0,0.090344629,0.000224511,,0,,0.35674793,,38650,2127.629892,,38650,,9.83867714,,,,,,663050,1589,3100,67392.19009,,29.63445952,,9.85572401,,91866.82453,,,,
10/18/2011,3743,826,834230,1009.96368,,,0,0.090344629,0.000225384,,0,,0.37301134,,41300,2140.200185,,41300,,5.17159236,,,,,,704350,1655,3276,136195.9626,,49.72433822,,10.5122232,,162896.932,,,,
10/19/2011,2625,643,702199,1092.066874,,,0,0.124707432,0.000227924,,0,,0.31726977,,32150,1593.312967,,32150,,12.37489353,,,,,,736500,1392,2750,59515.66355,,31.14419548,,10.48504571,,85646.53757,,,,
