date,bitcoin,litecoin,ethereum,facebook libra,cryptocurrency,isPartial
2015-01-04,3,0,0,0,0,False
2015-01-11,3,0,0,0,0,False
2015-01-18,2,0,0,0,0,False
2015-01-25,3,0,0,0,0,False
2015-02-01,2,0,0,0,0,False
2015-02-08,2,0,0,0,0,False
2015-02-15,2,0,0,0,0,False
2015-02-22,2,0,0,0,0,False
2015-03-01,2,0,0,0,0,False
2015-03-08,2,0,0,0,0,False
2015-03-15,2,0,0,0,0,False
2015-03-22,2,0,0,0,0,False
2015-03-29,2,0,0,0,0,False
2015-04-05,2,0,0,0,0,False
2015-04-12,2,0,0,0,0,False
2015-04-19,2,0,0,0,0,False
2015-04-26,2,0,0,0,0,False
2015-05-03,2,0,0,0,0,False
2015-05-10,2,0,0,0,0,False
2015-05-17,2,0,0,0,0,False
2015-05-24,2,0,0,0,0,False
2015-05-31,2,0,0,0,0,False
2015-06-07,2,0,0,0,0,False
2015-06-14,2,0,0,0,0,False
2015-06-21,2,0,0,0,0,False
2015-06-28,2,0,0,0,0,False
2015-07-05,3,0,0,0,0,False
2015-07-12,2,0,0,0,0,False
2015-07-19,2,0,0,0,0,False
2015-07-26,2,0,0,0,0,False
2015-08-02,2,0,0,0,0,False
2015-08-09,2,0,0,0,0,False
2015-08-16,2,0,0,0,0,False
2015-08-23,2,0,0,0,0,False
2015-08-30,2,0,0,0,0,False
2015-09-06,2,0,0,0,0,False
2015-09-13,2,0,0,0,0,False
2015-09-20,2,0,0,0,0,False
2015-09-27,2,0,0,0,0,False
2015-10-04,2,0,0,0,0,False
2015-10-11,2,0,0,0,0,False
2015-10-18,2,0,0,0,0,False
2015-10-25,3,0,0,0,0,False
2015-11-01,4,0,0,0,0,False
2015-11-08,3,0,0,0,0,False
2015-11-15,3,0,0,0,0,False
2015-11-22,2,0,0,0,0,False
2015-11-29,2,0,0,0,0,False
2015-12-06,4,0,0,0,0,False
2015-12-13,3,0,0,0,0,False
2015-12-20,3,0,0,0,0,False
2015-12-27,3,0,0,0,0,False
2016-01-03,3,0,0,0,0,False
2016-01-10,3,0,0,0,0,False
2016-01-17,3,0,0,0,0,False
2016-01-24,2,0,0,0,0,False
2016-01-31,2,0,0,0,0,False
2016-02-07,2,0,0,0,0,False
2016-02-14,3,0,0,0,0,False
2016-02-21,2,0,0,0,0,False
2016-02-28,3,0,0,0,0,False
2016-03-06,2,0,0,0,0,False
2016-03-13,2,0,0,0,0,False
2016-03-20,2,0,0,0,0,False
2016-03-27,2,0,0,0,0,False
2016-04-03,2,0,0,0,0,False
2016-04-10,2,0,0,0,0,False
2016-04-17,2,0,0,0,0,False
2016-04-24,3,0,0,0,0,False
2016-05-01,4,0,0,0,0,False
2016-05-08,3,0,0,0,0,False
2016-05-15,2,0,0,0,0,False
2016-05-22,3,0,0,0,0,False
2016-05-29,3,0,0,0,0,False
2016-06-05,3,0,0,0,0,False
2016-06-12,5,0,1,0,0,False
2016-06-19,4,0,1,0,0,False
2016-06-26,4,0,0,0,0,False
2016-07-03,3,0,0,0,0,False
2016-07-10,3,0,0,0,0,False
2016-07-17,3,0,0,0,0,False
